Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/31/2021,02/01/2021,SEAMLSS,Food & Drink,Sale,-47.22,
01/29/2021,02/01/2021,HOUSTON AP CARTCHAIRCH,Home,Sale,-6,
01/31/2021,02/01/2021,GOOGLE,Professional Services,Sale,-0.72,
01/29/2021,01/31/2021,LYFT,Travel,Sale,-40.87,
01/29/2021,01/31/2021,LYFT,Travel,Sale,-30,
01/30/2021,01/31/2021,LYFT,Travel,Sale,-26.38,
01/29/2021,01/31/2021,SEAMLSS,Food & Drink,Sale,-6.84,
01/30/2021,01/31/2021,SEAMLSS,Food & Drink,Sale,-16.75,
01/28/2021,01/29/2021,LYFT,Travel,Sale,-37.54,
01/28/2021,01/29/2021,LYFT,Travel,Sale,-28.56,
01/28/2021,01/29/2021,SEAMLSS,Food & Drink,Sale,-11.2,
01/27/2021,01/28/2021,SEAMLSS,Food & Drink,Sale,-16.75,
01/27/2021,01/28/2021,SEAMLSS,Food & Drink,Sale,-13.01,
01/26/2021,01/28/2021,SEAMLSS,Food & Drink,Sale,-4.9,
01/26/2021,01/27/2021,SEAMLSS,Food & Drink,Sale,-3.69,
01/24/2021,01/25/2021,SEAMLSS,Food & Drink,Sale,-40.92,
01/22/2021,01/24/2021,SEAMLSS,Food & Drink,Sale,-11.46,
01/23/2021,01/24/2021,SEAMLSS,Food & Drink,Sale,-11.2,
01/21/2021,01/22/2021,SEAMLSS,Food & Drink,Sale,-13.38,
01/20/2021,01/21/2021,SEAMLSS,Food & Drink,Sale,-5.32,
01/20/2021,01/21/2021,SEAMLSS,Food & Drink,Sale,-5.72,
01/20/2021,01/21/2021,SEAMLSS,Food & Drink,Sale,-31.57,
01/17/2021,01/19/2021,SEAMLSS,Food & Drink,Sale,-32.65,
01/16/2021,01/17/2021,SEAMLSS,Food & Drink,Sale,-12.29,
01/14/2021,01/17/2021,SEAMLSS,Food & Drink,Sale,-5.99,
01/13/2021,01/15/2021,SEAMLSS,Food & Drink,Sale,-5.17,
01/12/2021,01/14/2021,SEAMLSS,Food & Drink,Sale,-4.9,
01/13/2021,01/14/2021,SEAMLSS,Food & Drink,Sale,-17.84,
01/15/2021,01/17/2021,WHOLEFDS,Groceries,Sale,-161.39,
01/12/2021,01/13/2021,SEAMLSS,Food & Drink,Sale,-31.57,
01/12/2021,01/13/2021,SEAMLSS,Food & Drink,Sale,-3.14,
01/08/2021,01/10/2021,SEAMLSS,Food & Drink,Sale,-24.63,
01/09/2021,01/10/2021,SEAMLSS,Food & Drink,Sale,-16.75,
01/07/2021,01/08/2021,SEAMLSS,Food & Drink,Sale,-11.31,
01/06/2021,01/07/2021,SEAMLSS,Food & Drink,Sale,-13.49,
01/05/2021,01/06/2021,SEAMLSS,Food & Drink,Sale,-5.44,
01/05/2021,01/06/2021,SEAMLSS,Food & Drink,Sale,-13.49,
01/03/2021,01/04/2021,SEAMLSS,Food & Drink,Sale,-39.68,
01/03/2021,01/04/2021,SEAMLSS,Food & Drink,Sale,-42.76,
01/03/2021,01/04/2021,LYFT,Travel,Sale,-25.86,
01/03/2021,01/04/2021,LYFT,Travel,Sale,-22.93,
01/02/2021,01/03/2021,SEAMLSS,Food & Drink,Sale,-59.54,
12/31/2020,01/03/2021,SEAMLSS,Food & Drink,Sale,-39.49,
12/31/2020,01/01/2021,GOOGLE,Professional Services,Sale,-0.12,
12/29/2020,12/31/2020,SEAMLSS,Food & Drink,Sale,-55.16,
12/15/2020,12/17/2020,WHOLEFDS,Groceries,Sale,-161.39,
12/28/2020,12/30/2020,SEAMLSS,Food & Drink,Sale,-26.52,
